MWd/kgU,k-eff,Left mgLi6/kgU,Left %,g T made,g T tot,g T net
0.41500000000000026,1.071371995285526,68.4997304026544,0.978567577180777,0.03164295112917237,2.652323322791306,2.6492869522118117
0.42000000000000026,1.0713470569989754,68.48183606234242,0.9783119437477489,0.03163536489666421,2.68395868768797,2.680849427061214
0.42500000000000027,1.071322116346066,68.46394601229021,0.9780563716041458,0.03162778015587942,2.7155864678438495,2.712403459242164
0.43000000000000027,1.0712971733271648,68.44606025165402,0.9778008607379145,0.03162019690671752,2.747206664750567,2.7439490504757864
0.4350000000000003,1.0712722279426374,68.42817877959021,0.977545411137003,0.031612615149027724,2.7788192798995945,2.775486202483009
0.4400000000000003,1.0712472801928503,68.41030159525525,0.9772900227893607,0.031605034882634206,2.8104243147822285,2.8070149169845364
0.4450000000000003,1.07122233007817,68.39242869780564,0.9770346956829378,0.031597456107436465,2.842021770889665,2.838535195700927
0.4500000000000003,1.0711973775989632,68.374560086398,0.9767794298056858,0.031589878823258644,2.8736116497129234,2.8700470403525147
0.4550000000000003,1.0711724227555968,68.35669576018903,0.9765242251455575,0.0315823030299751,2.9051939527428985,2.901550452659463
0.4600000000000003,1.071147465548438,68.33883571833549,0.976269081690507,0.03157472872741,2.9367686814703085,2.9330454343417123
0.4650000000000003,1.0711225059778537,68.32097995999425,0.9760139994284892,0.031567155915437704,2.9683358373857462,2.9645319871190297
0.4700000000000003,1.071097544044212,68.30312848432223,0.9757589783474604,0.03155958459393262,2.9998954219796787,2.9960101127110104
0.4750000000000003,1.07107257974788,68.28528129047645,0.9755040184353778,0.03155201476274398,3.0314474367424227,3.0274798128370524
0.4800000000000003,1.0710476130892257,68.26743837761401,0.9752491196802002,0.031544446421695946,3.0629918831641185,3.0589410892163307
0.4850000000000003,1.0710226440686172,68.2495997448921,0.974994282069887,0.031536879570688015,3.0945287627348064,3.090393943567874
0.4900000000000003,1.070997672686423,68.23176539146796,0.9747395055923994,0.031529314209544315,3.126058076944351,3.1218383776104868
0.49500000000000033,1.070972698943011,68.21393531649896,0.9744847902356994,0.031521750338114114,3.157579827282465,3.153274393062777
0.5000000000000003,1.07094772283875,68.19610951914252,0.9742301359877503,0.0315141879562718,3.189094015238737,3.1847019916431814
0.5050000000000003,1.0709227443740093,68.17828799855616,0.9739755428365166,0.031506627063866616,3.2206006423026032,3.2161211750699366
0.5100000000000003,1.0708977635491574,68.16047075389746,0.9737210107699636,0.03149906766074784,3.252099709963351,3.247531945061084
0.5150000000000003,1.0708727803645637,68.14265778432407,0.9734665397760581,0.03149150974681497,3.283591219710166,3.278934303334517
0.5200000000000004,1.0708477948205974,68.12484908899378,0.9732121298427684,0.0314839533218419,3.315075173032008,3.3103282516078565
0.5250000000000004,1.0708228069176284,68.10704466706441,0.9729577809580631,0.03147639838575326,3.3465515714177614,3.341713791598601
0.5300000000000004,1.0707978166560261,68.08924451769388,0.9727034931099127,0.03146884493837318,3.3780204163561347,3.3730909250240257
0.5350000000000004,1.070772824036161,68.0714486400402,0.9724492662862886,0.03146129297955093,3.4094817093356857,3.40445965360121
0.5400000000000004,1.0707478290584025,68.05365703326144,0.9721951004751634,0.03145374250916088,3.4409354518448465,3.43581997904706
0.5450000000000004,1.0707228317231214,68.03586969651577,0.9719409956645111,0.0314461935270523,3.472381645371899,3.4671719030782846
0.5500000000000004,1.0706978320306884,68.01808662896146,0.9716869518423065,0.03143864603304932,3.5038202914049483,3.49851542741137
0.5550000000000004,1.0706728299814738,68.0003078297568,0.9714329689965258,0.03143110002705146,3.535251391432,3.529850553762656
0.5600000000000004,1.0706478255758487,67.98253329806023,0.9711790471151461,0.03142355550890797,3.566674946940908,3.5611772838482834
0.5650000000000004,1.0706228188141844,67.96476303303025,0.9709251861861464,0.03141601247841786,3.5980909594193258,3.592495619384147
0.5700000000000004,1.0705978096968518,67.94699703382543,0.970671386197506,0.031408470935505764,3.6294994303548314,3.6238055620860186
0.5750000000000004,1.0705727982242228,67.9292352996044,0.9704176471372057,0.03140093088002094,3.6609003612348525,3.655107113669473
0.5800000000000004,1.0705477843966686,67.91147782952594,0.9701639689932277,0.031393392311762414,3.6922937535466147,3.6864002758498375
